number	latency	duration	channel	bvtime	bvmknum	type	code	urevent	epoch
119.000000	237001.000000	1.000000	0.000000		172.000000	S  1	Stimulus	172.000000	60.000000
120.000000	237671.000000	1.000000	0.000000		173.000000	S  6	Stimulus	173.000000	60.000000
121.000000	241001.000000	1.000000	0.000000		174.000000	S  2	Stimulus	174.000000	61.000000
122.000000	241574.000000	1.000000	0.000000		175.000000	S  6	Stimulus	175.000000	61.000000
123.000000	245001.000000	1.000000	0.000000		176.000000	S  1	Stimulus	176.000000	62.000000
124.000000	245494.000000	1.000000	0.000000		177.000000	S  6	Stimulus	177.000000	62.000000
125.000000	249001.000000	1.000000	0.000000		178.000000	S  2	Stimulus	178.000000	63.000000
126.000000	249508.000000	1.000000	0.000000		179.000000	S  6	Stimulus	179.000000	63.000000
127.000000	253001.000000	1.000000	0.000000		180.000000	S  1	Stimulus	180.000000	64.000000
128.000000	253550.000000	1.000000	0.000000		181.000000	S  6	Stimulus	181.000000	64.000000
129.000000	257001.000000	1.000000	0.000000		184.000000	S  1	Stimulus	184.000000	65.000000
130.000000	257577.000000	1.000000	0.000000		185.000000	S  6	Stimulus	185.000000	65.000000
131.000000	261001.000000	1.000000	0.000000		188.000000	S  2	Stimulus	188.000000	66.000000
132.000000	261667.000000	1.000000	0.000000		189.000000	S  6	Stimulus	189.000000	66.000000
133.000000	265001.000000	1.000000	0.000000		190.000000	S  2	Stimulus	190.000000	67.000000
134.000000	265631.000000	1.000000	0.000000		191.000000	S  4	Stimulus	191.000000	67.000000
135.000000	269001.000000	1.000000	0.000000		192.000000	S  1	Stimulus	192.000000	68.000000
136.000000	269725.000000	1.000000	0.000000		193.000000	S  6	Stimulus	193.000000	68.000000
137.000000	273001.000000	1.000000	0.000000		201.000000	S  2	Stimulus	201.000000	69.000000
138.000000	273562.000000	1.000000	0.000000		202.000000	S  6	Stimulus	202.000000	69.000000
139.000000	277001.000000	1.000000	0.000000		203.000000	S  2	Stimulus	203.000000	70.000000
140.000000	277570.000000	1.000000	0.000000		204.000000	S  6	Stimulus	204.000000	70.000000
141.000000	281001.000000	1.000000	0.000000		209.000000	S  1	Stimulus	209.000000	71.000000
142.000000	281751.000000	1.000000	0.000000		210.000000	S  4	Stimulus	210.000000	71.000000
143.000000	285001.000000	1.000000	0.000000		211.000000	S  2	Stimulus	211.000000	72.000000
144.000000	285684.000000	1.000000	0.000000		212.000000	S  6	Stimulus	212.000000	72.000000
145.000000	289001.000000	1.000000	0.000000		216.000000	S  2	Stimulus	216.000000	73.000000
146.000000	289688.000000	1.000000	0.000000		217.000000	S  6	Stimulus	217.000000	73.000000
147.000000	293001.000000	1.000000	0.000000		218.000000	S  1	Stimulus	218.000000	74.000000
148.000000	293687.000000	1.000000	0.000000		219.000000	S  6	Stimulus	219.000000	74.000000
149.000000	297001.000000	1.000000	0.000000		225.000000	S  1	Stimulus	225.000000	75.000000
150.000000	297751.000000	1.000000	0.000000		226.000000	S  4	Stimulus	226.000000	75.000000
151.000000	301001.000000	1.000000	0.000000		229.000000	S  1	Stimulus	229.000000	76.000000
152.000000	301571.000000	1.000000	0.000000		230.000000	S  6	Stimulus	230.000000	76.000000
153.000000	305001.000000	1.000000	0.000000		248.000000	S  1	Stimulus	248.000000	77.000000
154.000000	305527.000000	1.000000	0.000000		249.000000	S  6	Stimulus	249.000000	77.000000
155.000000	309001.000000	1.000000	0.000000		252.000000	S  1	Stimulus	252.000000	78.000000
156.000000	309654.000000	1.000000	0.000000		253.000000	S  6	Stimulus	253.000000	78.000000
157.000000	313001.000000	1.000000	0.000000		256.000000	S  1	Stimulus	256.000000	79.000000
158.000000	313686.000000	1.000000	0.000000		257.000000	S  6	Stimulus	257.000000	79.000000
